id,lat,long,alt,next_lat,next_long
1,31.27727052,34.83709674,321.0000023,31.27727256,34.83714245
2,31.27727256,34.83714245,321.0000073,31.27727066,34.83712338
3,31.27727066,34.83712338,321.000005,31.27723352,34.83675086
4,31.27723352,34.83675086,321.000024,31.27729352,34.83703831
5,31.27729352,34.83703831,320.9999931,31.27724103,34.83696284
6,31.27724103,34.83696284,321.0000044,31.27726151,34.83706208
7,31.27726151,34.83706208,320.9999997,31.27707631,34.83712064
8,31.27707631,34.83712064,320.9999942,31.27748207,34.83844813
9,31.27748207,34.83844813,319.8703451,31.27726409,34.83698241
10,31.27726409,34.83698241,320.9999947,31.27722373,34.8370179
11,31.27722373,34.8370179,321.0000011,31.27727806,34.8371601
12,31.27727806,34.8371601,321.0000102,31.27729958,34.83693083
13,31.27729958,34.83693083,320.9999999,31.27795805,34.83909161
14,31.27795805,34.83909161,318.822308,31.27747136,34.83605978
15,31.27747136,34.83605978,322.4744618,31.27729834,34.83716838
16,31.27729834,34.83716838,321.0000167,31.27728905,34.83691174
17,31.27728905,34.83691174,320.9999995,31.27730837,34.83693671
18,31.27730837,34.83693671,321.0000001,31.27730507,34.83693117
19,31.27730507,34.83693117,320.9999997,31.27726604,34.8370935
20,31.27726604,34.8370935,321.0596375,31.27714387,34.83701303
21,31.27714387,34.83701303,320.999992,31.27617108,34.80474766
22,31.27617108,34.80474766,321.7667514,31.27748829,34.83713583
23,31.27748829,34.83713583,321.0000622,31.27710102,34.83703937
24,31.27710102,34.83703937,320.9999996,31.27710364,34.83703813
25,31.27710364,34.83703813,320.9999997,31.27710189,34.83703862
26,31.27710189,34.83703862,321.0000001,31.27704137,34.83703094
27,31.27704137,34.83703094,321.0000057,31.27700841,34.83765767
28,31.27700841,34.83765767,321.0002467,31.27728772,34.83722871
29,31.27728772,34.83722871,321.0027644,31.27715391,34.83696816
30,31.27715391,34.83696816,320.9999795,31.2771209,34.83703317
31,31.2771209,34.83703317,320.9999954,31.27717174,34.83669706
32,31.27717174,34.83669706,321.0000625,31.277102,34.83703937
33,31.277102,34.83703937,321.0000003,31.27714161,34.8370451
34,31.27714161,34.8370451,321.0000119,31.27710661,34.83704964
35,31.27710661,34.83704964,321.0000002,31.2771236,34.83693453
36,31.2771236,34.83693453,320.9998969,31.28013881,34.83709769
