id,lat,long,alt,next_lat,next_long
1,31.27742573,34.83738113,321.5926175,31.27738267,34.8373791
2,31.27738267,34.8373791,321.1338546,31.27636433,34.84000498
3,31.27636433,34.84000498,325.2055435,31.27752911,34.83707049
4,31.27752911,34.83707049,319.9779704,31.2773761,34.83740197
5,31.2773761,34.83740197,339.5688322,31.27719587,34.83787588
6,31.27719587,34.83787588,321.9826407,31.27741734,34.83726223
7,31.27741734,34.83726223,320.934965,31.27725288,34.83772067
8,31.27725288,34.83772067,321.7286383,31.27744566,34.83719058
9,31.27744566,34.83719058,320.9956425,31.2774327,34.83708918
10,31.2774327,34.83708918,319.7115389,31.27692048,34.83879498
11,31.27692048,34.83879498,320.9891047,31.27771644,34.83742965
12,31.27771644,34.83742965,322.6756172,31.27749583,34.83706137
13,31.27749583,34.83706137,320.9221477,31.27728564,34.83758983
14,31.27728564,34.83758983,321.5644547,31.27752718,34.83707631
15,31.27752718,34.83707631,320.0022434,31.27745512,34.83715967
16,31.27745512,34.83715967,320.8066684,31.27742677,34.83724365
17,31.27742677,34.83724365,320.8766269,31.27747958,34.83719375
18,31.27747958,34.83719375,319.2826761,31.27753429,34.83705552
19,31.27753429,34.83705552,319.8151549,31.277378,34.83738928
20,31.277378,34.83738928,320.9675775,31.27748265,34.83714976
21,31.27748265,34.83714976,320.5087399,31.27752932,34.8370696
22,31.27752932,34.8370696,319.9598819,31.27752789,34.83707292
23,31.27752789,34.83707292,320.0021075,31.2775038,34.83710049
24,31.2775038,34.83710049,320.343384,31.27752603,34.83707362
25,31.27752603,34.83707362,320.0379553,31.27720314,34.83786094
26,31.27720314,34.83786094,321.9877217,31.27752893,34.83707998
27,31.27752893,34.83707998,319.984751,31.27752817,34.83707251
28,31.27752817,34.83707251,319.8957668,31.27742428,34.83736894
29,31.27742428,34.83736894,321.3007482,31.27699214,34.83841082
30,31.27699214,34.83841082,323.623735,31.27751277,34.83711488
31,31.27751277,34.83711488,320.0479829,31.27764968,34.83671579
32,31.27764968,34.83671579,319.8694436,31.27734574,34.83753306
33,31.27734574,34.83753306,322.1574794,31.27753053,34.83706639
34,31.27753053,34.83706639,319.9507447,31.27739286,34.83723927
35,31.27739286,34.83723927,324.7441793,31.27760166,34.83682698
36,31.27760166,34.83682698,317.9578163,31.27750444,34.83696541
37,31.27750444,34.83696541,321.4907832,31.27758104,34.8370036
38,31.27758104,34.8370036,319.3482362,31.27753306,34.83708326
39,31.27753306,34.83708326,319.9424448,31.27738835,34.83735701
40,31.27738835,34.83735701,321.0074717,31.2775288,34.8370735
41,31.2775288,34.8370735,320.0009227,31.27752872,34.83707163
42,31.27752872,34.83707163,319.9986451,31.27756035,34.83703295
43,31.27756035,34.83703295,319.6202347,31.27752982,34.83707663
44,31.27752982,34.83707663,320.0049508,31.27752713,34.83707276
45,31.27752713,34.83707276,320.0013527,31.27750671,34.83710345
46,31.27750671,34.83710345,320.2930242,31.27752024,34.83709564
47,31.27752024,34.83709564,320.1898581,31.27752711,34.83707922
48,31.27752711,34.83707922,320.0274332,31.27752912,34.83707129
49,31.27752912,34.83707129,320.0007235,31.27752802,34.83707452
50,31.27752802,34.83707452,320.0416016,31.27752855,34.83707252
51,31.27752855,34.83707252,319.999648,31.27743073,34.83735427
52,31.27743073,34.83735427,322.0808797,31.27718987,34.83786928
53,31.27718987,34.83786928,320.9480022,31.27750357,34.83714152
54,31.27750357,34.83714152,320.1220682,31.2773078,34.83765734
55,31.2773078,34.83765734,321.7588936,31.27752825,34.83707255
56,31.27752825,34.83707255,319.9647387,31.27749334,34.83717551
57,31.27749334,34.83717551,321.430491,31.27753104,34.83705604
58,31.27753104,34.83705604,320.092999,31.27753258,34.83706009
59,31.27753258,34.83706009,319.9310699,31.27745784,34.83728768
60,31.27745784,34.83728768,321.1231873,31.27748882,34.83718832
61,31.27748882,34.83718832,320.5952177,31.27765664,34.83663483
62,31.27765664,34.83663483,320.2551656,31.27752832,34.8370725
63,31.27752832,34.8370725,319.9997916,31.27584437,34.84261946
64,31.27584437,34.84261946,331.6577404,31.27747378,34.83708493
65,31.27747378,34.83708493,320.5554874,31.27754273,34.83702954
66,31.27754273,34.83702954,319.5156031,31.27753539,34.83710026
67,31.27753539,34.83710026,321.9984538,31.27741281,34.837284
68,31.27741281,34.837284,320.9758095,31.27752926,34.83706993
69,31.27752926,34.83706993,319.9801302,31.2774695,34.83726708
70,31.2774695,34.83726708,321.2148372,31.2774632,34.83727062
71,31.2774632,34.83727062,321.4710611,31.27752077,34.83710382
72,31.27752077,34.83710382,320.0865691,31.27769335,34.83652632
73,31.27769335,34.83652632,322.2302796,31.27646838,34.8403395
74,31.27646838,34.8403395,319.1926005,31.27728287,34.83766217
75,31.27728287,34.83766217,321.1250595,31.27773459,34.83630964
76,31.27773459,34.83630964,319.272133,31.27806012,34.83535604
77,31.27806012,34.83535604,321.3542319,31.27728095,34.83769675
78,31.27728095,34.83769675,320.9187709,31.27751954,34.83709218
79,31.27751954,34.83709218,320.0496868,31.27744179,34.83723149
80,31.27744179,34.83723149,321.0052763,31.27747585,34.83722688
81,31.27747585,34.83722688,319.7905399,31.27713323,34.83827165
82,31.27713323,34.83827165,320.0126497,31.2771854,34.83789707
83,31.2771854,34.83789707,321.0668986,31.27734105,34.83743467
84,31.27734105,34.83743467,319.7754094,31.27745012,34.83731198
85,31.27745012,34.83731198,322.1684787,31.27749556,34.83709938
86,31.27749556,34.83709938,320.3988992,31.27751982,34.83709602
87,31.27751982,34.83709602,320.2642812,31.27752391,34.83708213
88,31.27752391,34.83708213,319.9866457,31.27726524,34.83776212
89,31.27726524,34.83776212,322.7048394,31.2773223,34.83763828
90,31.2773223,34.83763828,322.0611699,31.27750107,34.83744603
91,31.27750107,34.83744603,322.4269665,31.27742728,34.83722581
92,31.27742728,34.83722581,320.878398,31.27749087,34.83718245
93,31.27749087,34.83718245,320.4949148,31.27762648,34.83661197
94,31.27762648,34.83661197,319.3948922,31.27753128,34.83706909
95,31.27753128,34.83706909,319.9697958,31.27723702,34.8378202
96,31.27723702,34.8378202,322.1950936,31.27757176,34.83708255
97,31.27757176,34.83708255,319.8139378,31.27699517,34.83894419
98,31.27699517,34.83894419,310.8974197,31.27753856,34.83704129
99,31.27753856,34.83704129,320.2233196,31.27752131,34.83709431
100,31.27752131,34.83709431,320.218778,31.27746175,34.8372037
101,31.27746175,34.8372037,321.0925019,31.27669811,34.83806631
102,31.27669811,34.83806631,315.8889328,31.27744956,34.83724853
103,31.27744956,34.83724853,321.0708856,31.27716774,34.83786286
104,31.27716774,34.83786286,317.0416669,31.27753481,34.83705319
105,31.27753481,34.83705319,319.8025086,31.2773904,34.83739541
106,31.2773904,34.83739541,321.3109977,31.27730742,34.83742509
107,31.27730742,34.83742509,318.646665,31.27752252,34.83710471
108,31.27752252,34.83710471,320.3810985,31.27988896,34.83266685
109,31.27988896,34.83266685,369.912565,31.27746658,34.83714805
110,31.27746658,34.83714805,320.7679542,31.27720048,34.83786641
111,31.27720048,34.83786641,321.9911691,31.27459526,34.84227107
112,31.27459526,34.84227107,305.906332,31.2772028,34.83786197
113,31.2772028,34.83786197,322.0172822,31.27743665,34.8372174
114,31.27743665,34.8372174,318.4996478,31.2766935,34.8379866
115,31.2766935,34.8379866,315.3290642,31.27746321,34.83706111
116,31.27746321,34.83706111,320.477026,31.27726267,34.83767478
117,31.27726267,34.83767478,321.5527877,31.27739903,34.83732288
118,31.27739903,34.83732288,320.9569019,31.27758174,34.83672121
119,31.27758174,34.83672121,319.969421,31.27720049,34.83786753
120,31.27720049,34.83786753,322.0050796,31.27762448,34.83674471
121,31.27762448,34.83674471,320.3199376,31.27750636,34.83713129
122,31.27750636,34.83713129,320.1866614,31.27720132,34.83786492
123,31.27720132,34.83786492,321.9955082,31.27724168,34.83770865
124,31.27724168,34.83770865,318.890776,31.27720244,34.8378625
125,31.27720244,34.8378625,321.9924831,31.27720191,34.83786457
126,31.27720191,34.83786457,322.0062343,31.27750505,34.83709885
127,31.27750505,34.83709885,322.0704166,31.27727962,34.83772372
128,31.27727962,34.83772372,322.0665085,31.27722342,34.83793485
129,31.27722342,34.83793485,322.1787263,31.27727241,34.83767786
130,31.27727241,34.83767786,321.5955904,31.28133412,34.83065426
131,31.28133412,34.83065426,420.0033907,31.27721564,34.8378226
132,31.27721564,34.8378226,321.8701686,31.27721022,34.83782566
133,31.27721022,34.83782566,321.7644283,31.27738327,34.8374803
134,31.27738327,34.8374803,324.3178566,31.28691923,34.81726758
135,31.28691923,34.81726758,370.485924,31.27642763,34.83846689
136,31.27642763,34.83846689,345.6137714,31.27708152,34.83828074
137,31.27708152,34.83828074,323.7592377,31.27725525,34.8378767
138,31.27725525,34.8378767,331.0420968,31.27667645,34.83842637
139,31.27667645,34.83842637,315.2628034,31.27759371,34.83706113
140,31.27759371,34.83706113,329.3468281,31.2742762,34.83837188
141,31.2742762,34.83837188,315.9057521,31.27675989,34.83839252
142,31.27675989,34.83839252,315.6447496,31.27664317,34.83851681
143,31.27664317,34.83851681,312.8198856,31.27673613,34.83854134
144,31.27673613,34.83854134,313.483311,31.27368096,34.83855413
145,31.27368096,34.83855413,305.1559694,31.27627464,34.83912664
146,31.27627464,34.83912664,309.0371989,31.27617522,34.83847485
147,31.27617522,34.83847485,314.4979677,31.27635145,34.83841748
148,31.27635145,34.83841748,315.4078592,31.27437596,34.83985972
149,31.27437596,34.83985972,306.7192271,31.2768199,34.83845019
150,31.2768199,34.83845019,315.7890582,31.27950652,34.83800707
151,31.27950652,34.83800707,314.0104384,31.27641665,34.83850002
152,31.27641665,34.83850002,314.0000002,31.27633384,34.83857959
153,31.27633384,34.83857959,313.8628264,31.27929454,34.83798461
154,31.27929454,34.83798461,314.0091427,31.27580874,34.83931972
155,31.27580874,34.83931972,313.0893153,31.27635135,34.83849106
156,31.27635135,34.83849106,314.0229251,31.2762357,34.83846554
157,31.2762357,34.83846554,315.1543052,31.2764279,34.83848211
158,31.2764279,34.83848211,319.59635,31.27635074,34.83860288
159,31.27635074,34.83860288,315.6885773,31.27624252,34.83876032
160,31.27624252,34.83876032,314.6555345,31.27602466,34.83894238
161,31.27602466,34.83894238,315.9343946,31.27606997,34.83890055
162,31.27606997,34.83890055,315.8388155,31.27641207,34.83854006
163,31.27641207,34.83854006,315.6822133,31.27649416,34.83842232
164,31.27649416,34.83842232,316.3331318,31.27650232,34.8384117
165,31.27650232,34.8384117,316.3396134,31.27641055,34.83854367
166,31.27641055,34.83854367,315.5440984,31.27647371,34.83845376
167,31.27647371,34.83845376,316.1157707,31.27641281,34.8385361
168,31.27641281,34.8385361,315.7188249,31.27662147,34.83828483
169,31.27662147,34.83828483,316.2522481,31.27669769,34.8381666
170,31.27669769,34.8381666,317.1546348,31.27627608,34.83865167
171,31.27627608,34.83865167,314.7534079,31.27660478,34.83838258
172,31.27660478,34.83838258,314.5227682,31.27641191,34.83853611
173,31.27641191,34.83853611,315.7169131,31.27689945,34.83796749
174,31.27689945,34.83796749,317.3247017,31.27663955,34.83824911
175,31.27663955,34.83824911,316.7205374,31.27719165,34.83738762
176,31.27719165,34.83738762,320.1467602,31.27623084,34.83872778
177,31.27623084,34.83872778,315.0186389,31.27602735,34.83807654
178,31.27602735,34.83807654,317.5521823,31.27587729,34.83887474
179,31.27587729,34.83887474,314.3081862,31.27706849,34.8376835
180,31.27706849,34.8376835,319.0582382,31.27638257,34.83865579
181,31.27638257,34.83865579,311.7332861,31.2762742,34.83857489
182,31.2762742,34.83857489,315.8797456,31.13529259,35.02217702
183,31.13529259,35.02217702,-366.5534394,31.27645099,34.83848508
184,31.27645099,34.83848508,315.9012998,31.27664303,34.83853947
185,31.27664303,34.83853947,314.6563068,31.27660201,34.83827426
186,31.27660201,34.83827426,316.7599894,31.27685435,34.83830051
187,31.27685435,34.83830051,314.9814171,31.27687105,34.83827375
188,31.27687105,34.83827375,316.3399495,31.27668192,34.83846252
189,31.27668192,34.83846252,312.7927028,31.27642422,34.83788092
190,31.27642422,34.83788092,327.0986177,31.27685481,34.83829176
191,31.27685481,34.83829176,314.9995374,31.27578542,34.8375335
192,31.27578542,34.8375335,319.1539582,31.2774901,34.83786991
193,31.2774901,34.83786991,315.8892684,31.27612304,34.8374906
194,31.27612304,34.8374906,318.9790519,31.2768225,34.83836134
195,31.2768225,34.83836134,315.0292812,31.27627821,34.83756807
