id,lat,long,alt,next_lat,next_long
1,31.27740894,34.83705787,320.0004354,31.27724654,34.83681594
2,31.27724654,34.83681594,320.9978186,31.27721219,34.83667339
3,31.27721219,34.83667339,321.0000153,31.27681877,34.83660979
4,31.27681877,34.83660979,321.4517686,31.27728446,34.8368132
5,31.27728446,34.8368132,320.8212643,31.27724465,34.83681391
6,31.27724465,34.83681391,321.0100917,31.27724597,34.8368173
7,31.27724597,34.8368173,321.000557,31.27717646,34.83680585
8,31.27717646,34.83680585,320.9613358,31.2772638,34.83685579
9,31.2772638,34.83685579,320.92418,31.27718761,34.83679583
10,31.27718761,34.83679583,320.9546445,31.27701805,34.83692613
11,31.27701805,34.83692613,324.0023127,31.27704905,34.836999
12,31.27704905,34.836999,323.6315264,31.2770718,34.83691312
13,31.2770718,34.83691312,313.8442913,31.27704694,34.83697313
14,31.27704694,34.83697313,324.0000025,31.2772409,34.83681815
15,31.2772409,34.83681815,321.9415303,31.27701658,34.83693008
16,31.27701658,34.83693008,324.0373589,31.27701917,34.83692631
17,31.27701917,34.83692631,324,31.27701813,34.83692541
18,31.27701813,34.83692541,324,31.27701426,34.83692909
19,31.27701426,34.83692909,324.044043,31.27701534,34.83692863
20,31.27701534,34.83692863,324.0310519,31.27701842,34.83692783
21,31.27701842,34.83692783,324,31.27702126,34.83692951
22,31.27702126,34.83692951,324,31.27702125,34.83692842
23,31.27702125,34.83692842,324,31.27702341,34.83692977
24,31.27702341,34.83692977,324,31.27703375,34.83693952
25,31.27703375,34.83693952,324.0000004,31.27701466,34.83692364
26,31.27701466,34.83692364,324,31.27701927,34.83692366
27,31.27701927,34.83692366,323.9999999,31.27703396,34.83691921
28,31.27703396,34.83691921,324,31.27732426,34.83694507
29,31.27732426,34.83694507,323.1696589,31.27714075,34.83673973
30,31.27714075,34.83673973,322.7031131,31.27719222,34.8369518
31,31.27719222,34.8369518,320.9390453,31.27718895,34.83676471
32,31.27718895,34.83676471,321.2689881,31.2772425,34.83680082
33,31.2772425,34.83680082,320.9739192,31.27715698,34.836727
34,31.27715698,34.836727,323.403785,31.27724828,34.83679534
35,31.27724828,34.83679534,320.2103775,31.27473026,34.83894035
36,31.27473026,34.83894035,300.9667585,31.27724123,34.83681052
37,31.27724123,34.83681052,320.9387094,31.27734528,34.83774254
38,31.27734528,34.83774254,322.5206831,31.27756289,34.83520442
39,31.27756289,34.83520442,322.8822214,31.27553025,34.85845076
40,31.27553025,34.85845076,257.6584371,31.27727963,34.83720883
41,31.27727963,34.83720883,320.5013661,31.27664254,34.83786905
42,31.27664254,34.83786905,317.000099,31.27664737,34.83786368
43,31.27664737,34.83786368,317,31.27664156,34.8378697
44,31.27664156,34.8378697,317,31.27664568,34.83787297
45,31.27664568,34.83787297,317,31.27664543,34.83787497
46,31.27664543,34.83787497,317,31.27664806,34.83787448
47,31.27664806,34.83787448,317,31.27664806,34.83787012
48,31.27664806,34.83787012,317,31.27664607,34.83786872
49,31.27664607,34.83786872,317,31.27664683,34.8378781
50,31.27664683,34.8378781,317,31.27664093,34.83788502
51,31.27664093,34.83788502,317.0000001,31.27664672,34.83787802
52,31.27664672,34.83787802,317,31.27664849,34.83787753
53,31.27664849,34.83787753,317,31.27667207,34.83784565
54,31.27667207,34.83784565,317.000001,31.27665372,34.83787086
55,31.27665372,34.83787086,317.0000001,31.27664707,34.83787658
56,31.27664707,34.83787658,317,31.27664588,34.83787858
57,31.27664588,34.83787858,317,31.27664537,34.8378677
58,31.27664537,34.8378677,316.9999999,31.27664247,34.83786876
59,31.27664247,34.83786876,317,31.27664643,34.83787171
60,31.27664643,34.83787171,317,31.27664463,34.83788592
61,31.27664463,34.83788592,316.9232607,31.27665672,34.8378874
62,31.27665672,34.8378874,317.0000005,31.27664825,34.83786107
63,31.27664825,34.83786107,316.9999995,31.27661831,34.83787475
64,31.27661831,34.83787475,317.0000007,31.27664425,34.83786986
65,31.27664425,34.83786986,317,31.2766535,34.83787602
66,31.2766535,34.83787602,317.0000001,31.2766477,34.83785467
67,31.2766477,34.83785467,317.0000001,31.27664245,34.83786867
68,31.27664245,34.83786867,317,31.27664511,34.83786961
