frame,lat,long,alt,next_lat,next_long
1,34.41791747,31.41929472,77.34532267,34.41647082,31.40966415
2,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
3,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
4,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
5,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
6,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
7,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
8,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
9,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
10,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
11,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
12,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
13,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
14,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
15,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
16,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
17,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
18,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
19,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
20,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
21,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
22,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
23,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
24,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
25,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
26,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
27,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
28,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
29,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
30,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
31,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
32,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
33,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
34,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
35,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
36,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
37,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
38,34.41647082,31.40966415,42.98221496,34.41647082,31.40966415
