id,lat,long,alt,real_lat,real_long,real_alt,next_lat,next_long
1,31.27751606,34.83669384,317.4087032,31.277287,34.83616,433.855988,31.277287,34.83616
2,31.27704244,34.83802575,319.8779968,31.277287,34.83616,433.855988,31.277287,34.83616
3,31.27722632,34.83676756,322.4340962,31.277287,34.83616,433.855988,31.277287,34.83616
4,31.27723519,34.83401025,331.7453015,31.277287,34.83616,433.855988,31.277287,34.83616
5,31.27718244,34.83687734,321.2241696,31.277287,34.83616,433.855988,31.277287,34.83616
6,31.27722,34.83675784,324.5466557,31.277287,34.83616,433.855988,31.277287,34.83616
7,31.27722764,34.83677203,324.154842,31.277287,34.83616,433.855988,31.277287,34.83616
8,31.27720954,34.83634129,319.5533534,31.277287,34.83616,433.855988,31.277287,34.83616
9,31.27742709,34.83691731,321.7853647,31.277287,34.83616,433.855988,31.277287,34.83616
10,31.27803186,34.83592803,323.9306221,31.277287,34.83616,433.855988,31.277287,34.83616
11,31.27727693,34.83738709,320.2607005,31.277287,34.83616,433.804993,31.277287,34.83616
12,31.27772493,34.83633895,317.7811439,31.277287,34.83616,433.804993,31.277287,34.83616
13,31.27742899,34.83698465,321.8028763,31.277287,34.83616,433.804993,31.277287,34.83616
14,31.2771952,34.83668515,319.3257355,31.277287,34.83616,433.804993,31.277287,34.83616
15,31.27820651,34.83641405,323.0123029,31.277287,34.83616,433.804993,31.277287,34.83616
16,31.27728261,34.83684969,322.8260895,31.277287,34.83616,433.804993,31.277287,34.83616
17,31.27724295,34.83675905,322.986398,31.277287,34.83616,433.804993,31.277287,34.83616
18,31.2776231,34.83739817,322.9729094,31.277287,34.83616,433.804993,31.277287,34.83616
19,31.27718995,34.83774951,319.6286432,31.277287,34.83616,433.804993,31.277287,34.83616
20,31.27719991,34.83700883,320.3730719,31.277287,34.83616,433.804993,31.277287,34.83616
21,31.27716172,34.83507975,319.3895482,31.277287,34.83616,433.804993,31.277287,34.83616
22,31.27744836,34.83397761,322.9631757,31.277287,34.83616,433.804993,31.277287,34.83616
23,31.27727168,34.83684547,318.2691906,31.277287,34.83616,433.743988,31.277287,34.83616
24,31.27767447,34.83670152,322.7908042,31.277287,34.83616,433.743988,31.277287,34.83616
25,31.27749454,34.83663498,322.0048172,31.277287,34.83616,433.743988,31.277287,34.83616
26,31.27724286,34.83679021,322.6252429,31.277287,34.83616,433.743988,31.277287,34.83616
27,31.27733935,34.83692906,318.7793519,31.277287,34.83616,433.743988,31.277287,34.83616
28,31.27739826,34.83689253,322.2593107,31.277287,34.83616,433.743988,31.277287,34.83616
29,31.2759431,34.83328183,318.8184426,31.277287,34.83616,433.743988,31.277287,34.83616
30,31.27724297,34.83686281,317.705964,31.277287,34.83616,433.743988,31.277287,34.83616
31,31.27779312,34.83692624,322.3176756,31.277287,34.83616,433.743988,31.277287,34.83616
32,31.27722738,34.83678689,318.8387325,31.277287,34.83616,433.743988,31.277287,34.83616
33,31.27752875,34.83661221,321.9138565,31.277287,34.83616,433.743988,31.277287,34.83616
34,31.27755813,34.83659828,322.8182891,31.277287,34.83616,433.743988,31.277287,34.836161
35,31.27817276,34.83804928,322.9756604,31.277287,34.836161,433.677002,31.277287,34.836161
36,31.27763291,34.8365091,322.3503285,31.277287,34.836161,433.677002,31.277287,34.836161
37,31.27732786,34.83665384,324.7192777,31.277287,34.836161,433.677002,31.277287,34.836161
38,31.2769754,34.8366232,322.901638,31.277287,34.836161,433.677002,31.277287,34.836161
39,31.27724164,34.83317459,311.8437366,31.277287,34.836161,433.677002,31.277287,34.836161
40,31.27696523,34.83648994,314.663292,31.277287,34.836161,433.677002,31.277286,34.836162
41,31.27704977,34.83694363,322.6477056,31.277286,34.836162,433.677002,31.277286,34.836162
42,31.27726776,34.83703089,320.2446108,31.277286,34.836162,433.677002,31.277286,34.836162
43,31.2775722,34.83706794,321.5385552,31.277286,34.836162,433.677002,31.277286,34.836162
44,31.27716596,34.83679227,323.3424778,31.277286,34.836162,433.677002,31.277286,34.836162
45,31.27712173,34.83939244,317.5237793,31.277286,34.836162,433.677002,31.277286,34.836162
46,31.27813134,34.83685822,322.9779926,31.277286,34.836162,433.677002,31.277286,34.836163
47,31.27741838,34.83685608,322.9814907,31.277286,34.836163,433.60199,31.277286,34.836163
48,31.27597617,34.83689789,322.4979013,31.277286,34.836163,433.60199,31.277286,34.836163
49,31.27722237,34.83671963,323.0468987,31.277286,34.836163,433.60199,31.277286,34.836163
50,31.27769611,34.83605118,324.3859174,31.277286,34.836163,433.60199,31.277286,34.836163
51,31.3466254,34.61140409,9.587053807,31.277286,34.836163,433.60199,31.277286,34.836163
52,31.27649229,34.84107049,336.1762113,31.277286,34.836163,433.60199,31.277285,34.836165
53,31.2772137,34.8376349,319.8684828,31.277285,34.836165,433.60199,31.277285,34.836165
54,31.27780074,34.83580092,317.290939,31.277285,34.836165,433.60199,31.277285,34.836165
55,31.27721194,34.83777392,319.5784265,31.277285,34.836165,433.60199,31.277285,34.836165
56,31.27785228,34.83966168,313.7363304,31.277285,34.836165,433.60199,31.277285,34.836165
57,31.27737098,34.83682148,322.9996127,31.277285,34.836165,433.60199,31.277285,34.836165
58,31.28121098,34.84486968,323.104299,31.277285,34.836165,433.60199,31.277284,34.836167
59,31.27845625,34.8329076,323.0092106,31.277284,34.836167,433.552002,31.277284,34.836167
60,31.27066469,34.84588028,322.9297036,31.277284,34.836167,433.552002,31.277284,34.836167
61,31.20621392,34.79041125,323.5779323,31.277284,34.836167,433.552002,31.277284,34.836167
62,31.27717936,34.83682143,319.1129886,31.277284,34.836167,433.552002,31.277284,34.836167
63,31.27712943,34.83858301,319.3850974,31.277284,34.836167,433.552002,31.277284,34.836167
64,31.27716597,34.83693629,319.7260001,31.277284,34.836167,433.552002,31.277283,34.836169
65,31.27718932,34.83680934,319.208901,31.277283,34.836169,433.552002,31.277283,34.836169
66,31.27719459,34.83657876,319.5086279,31.277283,34.836169,433.552002,31.277283,34.836169
67,31.27722669,34.83577907,319.604104,31.277283,34.836169,433.552002,31.277283,34.836169
68,31.27718814,34.83661999,319.3635288,31.277283,34.836169,433.552002,31.277283,34.836169
69,31.27737285,34.83686364,322.4263674,31.277283,34.836169,433.552002,31.277283,34.836169
70,31.27725113,34.83672695,323.1470193,31.277283,34.836169,433.552002,31.277281,34.836172
