id,lat,long,alt
0,34.42775213,31.39939232,35.7115162
73,34.44363116,31.38803738,27.06531456
74,34.44363116,31.38803738,27.06531456
75,34.44363116,31.38803738,27.06531456
76,34.44363116,31.38803738,27.06531456
77,34.44363116,31.38803738,27.06531456
78,34.40737574,31.40063028,87.50211797
79,34.40737574,31.40063028,87.50211797
80,34.29106466,31.34556714,261.5883904
81,34.29106466,31.34556714,261.5883904
82,34.29106466,31.34556714,261.5883904
83,34.41873535,31.41074566,46.0127982
84,34.41873535,31.41074566,46.0127982
87,34.42131608,31.4123061,29.96095714
88,34.42046383,31.41397651,31.33590086
89,34.42046383,31.41397651,31.33590086
90,34.42046383,31.41397651,31.33590086
91,34.42046383,31.41397651,31.33590086
92,34.41873535,31.41074566,46.0127982
93,34.42054401,31.40506408,36.62116032
94,34.4196945,31.41357596,36.70661177
95,34.40737574,31.40063028,87.50211797
97,34.42210431,31.39496742,44.00710175
98,34.42210431,31.39496742,44.00710175
99,34.43036515,31.40966515,25.94791201
100,34.43036515,31.40966515,25.94791201
103,34.46775455,31.36282227,4.877585754
104,34.46775455,31.36282227,4.877585754
105,34.42153841,31.41453966,36.19992865
106,34.42153841,31.41453966,36.19992865
108,34.39993686,31.40496503,72.5777637
109,34.39993686,31.40496503,72.5777637
110,34.42103399,31.42053352,22.74867161
111,34.4183685,31.42182403,26.47133427
112,34.4183685,31.42182403,26.47133427
114,34.42440013,31.41446703,25.76932821
115,34.42551224,31.41139573,24.18261096
116,34.42551224,31.41139573,24.18261096
117,34.41453855,31.41770443,39.56552031
118,34.41453855,31.41770443,39.56552031
119,34.42070327,31.40635508,37.37601719
120,34.40184466,31.40829873,72.74724639
121,34.4159096,31.39400943,49.53789167
122,34.41960707,31.41142845,31.05142368
123,34.42015032,31.40717276,30.73709618
124,34.48670291,31.39186434,44.14665482
125,34.41962138,31.40532404,30.55499798
126,34.42326635,31.41684472,28.78846694
127,34.41477191,31.41662913,44.88008645
128,34.39958646,31.41661244,86.92657107
129,34.33869283,31.3598341,171.9209136
130,34.41477712,31.41120186,37.7287952
132,34.4196973,31.41751267,35.69385518
133,34.41975779,31.40918082,38.8773281
134,34.4347762,31.40775698,35.91234007
135,34.42129419,31.41252857,30.94004869
136,34.39719953,31.37563776,89.07867849
137,34.39014054,31.38567144,97.90630637
138,34.41715577,31.41330093,49.59517778
139,34.4147059,31.39244103,56.58028036
141,34.44359618,31.37731528,33.45971211
142,34.42280535,31.41659658,29.56512331
143,34.40996479,31.40810097,48.02463586
144,34.42548673,31.41746597,14.93796438
145,34.41972653,31.40594184,40.82554853
147,34.42296162,31.41333077,33.32731492
148,34.4135197,31.41756746,43.60431211
149,34.43319103,31.40704142,36.69947035
150,34.41636328,31.39556848,46.29096034
151,34.42280715,31.40070808,45.34661005
152,34.42386029,31.40969587,33.30797341
153,34.41585758,31.41148573,43.79474825
154,34.44743511,31.39020936,37.33981126
155,34.39296151,31.39818785,84.3334706
156,34.42289657,31.41015443,30.77727852
157,34.42082878,31.4069105,31.68196869
158,34.41721654,31.41048267,36.78874111
160,34.41209364,31.41077247,42.57972297
161,34.41159357,31.39303461,51.53077674
162,34.43729967,31.41603119,9.696965824
163,34.4431511,31.40564526,3.855034105
164,34.36561181,31.40717672,120.8369632
165,34.43883084,31.42220531,4.813203097
166,34.42569975,31.39893431,42.41811764
167,34.20938488,31.4332685,393.7055127
168,34.42551423,31.41182848,23.81238836
169,34.40942801,31.42623045,47.72822434
170,34.42030875,31.41135623,29.27409163
171,34.41658563,31.39955135,54.99669055
172,34.41738966,31.41125201,40.0715078
174,34.40288989,31.39477584,71.51163406
175,34.40175612,31.41975586,65.93855428
177,34.41334445,31.41821339,41.13631568
178,34.41925821,31.41653419,36.53623639
179,34.39498521,31.39900018,79.37341529
180,34.42562043,31.41636456,34.96615013
181,34.41439058,31.39855587,53.45913955
182,34.42047952,31.40632054,30.42227861
183,34.40102609,31.41373484,68.0757532
184,34.47134618,31.40341381,16.35711186
185,34.41971192,31.41556857,33.37097804
186,34.41904433,31.41615855,31.99775205
187,34.42173931,31.41187696,30.4641492
188,34.41418986,31.41724313,41.7222935
189,34.42548063,31.40623442,39.13537664
190,34.4179671,31.41193466,45.86661827
191,34.42323957,31.41456869,32.24875442
192,34.4136589,31.40655157,52.71910682
193,34.42280417,31.42654495,20.2385242
194,34.41969385,31.40368844,39.58833474
195,34.43537924,31.40746918,36.18003601
196,34.42249724,31.41232396,26.08062442
198,34.41717368,31.39661261,44.22106649
199,34.42810227,31.41406874,7.881102472
200,34.41408477,31.41318507,37.74204539
201,34.41985675,31.41391604,34.62239031
202,34.42163674,31.40181129,43.29811316
203,34.42798852,31.41516317,20.75849069
204,34.41636169,31.41793065,35.93651733
205,34.35519638,31.37947409,137.3386122
206,34.420325,31.39687625,42.34736858
207,34.4309307,31.4080909,28.35943514
208,34.42214755,31.41466495,27.55813418
209,34.40042551,31.40317856,67.70654965
210,34.41421563,31.41749728,44.57088239
211,34.42085609,31.39599109,42.22908901
212,34.42362306,31.4185449,22.38122775
213,34.42923168,31.39226195,57.2011941
214,34.41562491,31.39429462,53.87088048
215,34.42746502,31.40284327,32.9955647
216,34.41693589,31.39704704,46.56295835
217,34.40125608,31.41797332,68.02210261
218,34.41634667,31.39681134,55.16929176
219,34.41142812,31.37117564,67.50467464
220,34.41634669,31.42684458,35.01711621
221,34.41414964,31.39336918,52.4289867
222,34.39462393,31.39939378,95.22682977
223,34.42698402,31.41959191,14.70283896
224,34.36387867,31.45843525,42.15962016
225,34.41669895,31.42693467,27.12245494
226,34.42112507,31.41785492,29.02912018
227,34.41509603,31.40176415,47.34089737
228,34.41870081,31.39647088,37.28986919
229,34.40665076,31.40275722,59.52837974
230,34.4274487,31.41454879,37.88707041
231,34.40755464,31.4175063,46.30718002
232,34.39514583,31.39369468,77.73028406
233,34.40320455,31.41828158,63.27378414
234,34.40307414,31.40756723,64.36466291
235,34.40223002,31.40972636,86.96754876
236,34.41872164,31.41736217,35.84455041
237,34.42219462,31.41668151,26.24741
238,34.42836825,31.41476982,23.84110689
240,34.44300836,31.4205277,25.51307198
241,34.41896822,31.40515062,45.71512713
242,34.43010665,31.42481084,11.77648735
243,34.43906986,31.40573847,32.7616613
244,34.41880794,31.41558964,32.59908443
246,34.42136039,31.41708536,27.96253507
247,34.26501834,31.49938535,209.5202762
248,34.41891969,31.42265044,23.70222294
249,34.42475936,31.42064095,28.81907148
250,34.43711811,31.3994323,12.39369279
251,34.41159306,31.45976568,48.81809906
252,34.40768117,31.4172435,45.2194207
253,34.39870663,31.40160124,67.7521372
254,34.42464592,31.4142861,25.58802571
255,30.91235974,30.36719043,5272.142358
256,34.42938789,31.39811813,37.70858897
257,34.35136009,31.81266135,32.3671141
258,34.40893512,31.4265452,41.86761047
259,34.46573479,31.39396964,25.68530205
260,34.82067013,31.24946756,15.06402396
261,34.41228872,31.41651426,44.78554018
262,34.42923702,31.40214239,45.27917251
263,34.41610944,31.39603802,47.40918121
