id,lat,long,alt,next_lat,next_long
1,31.27759948,34.83664391,322.1624805,31.27742113,34.83747914
2,31.27742113,34.83747914,326.3978923,31.27738413,34.83727517
3,31.27738413,34.83727517,321.0609265,31.27739347,34.83725416
4,31.27739347,34.83725416,321,31.27739072,34.83725673
5,31.27739072,34.83725673,321.000006,31.27757772,34.83672904
6,31.27757772,34.83672904,321.999571,31.2773919,34.83725508
7,31.2773919,34.83725508,321.00165,31.27739266,34.83725571
8,31.27739266,34.83725571,320.9999987,31.27743929,34.83712046
9,31.27743929,34.83712046,321.1933633,31.27739222,34.83725526
10,31.27739222,34.83725526,321.0000055,31.27739615,34.83725326
11,31.27739615,34.83725326,320.9999998,31.2773317,34.83737065
12,31.2773317,34.83737065,321.992924,31.27757721,34.83673054
13,31.27757721,34.83673054,321.9961412,31.27738676,34.83726008
14,31.27738676,34.83726008,321.0000002,31.27739238,34.83725622
15,31.27739238,34.83725622,320.9999573,31.27744491,34.83724446
16,31.27744491,34.83724446,320.9999992,31.27744841,34.83713564
17,31.27744841,34.83713564,321.0000166,31.27741125,34.83724388
18,31.27741125,34.83724388,320.9889178,31.27705768,34.83757399
19,31.27705768,34.83757399,317.3255419,31.27744915,34.83710327
20,31.27744915,34.83710327,320.9999947,31.27741887,34.83718904
21,31.27741887,34.83718904,320.7349765,31.2774869,34.83713816
22,31.2774869,34.83713816,320.1804311,31.27723376,34.83757142
23,31.27723376,34.83757142,321.8272662,31.27761638,34.83663996
24,31.27761638,34.83663996,321.6833126,31.27739992,34.83726642
25,31.27739992,34.83726642,320.9185155,31.27757841,34.83672615
26,31.27757841,34.83672615,322.0036197,31.27764046,34.83673925
27,31.27764046,34.83673925,321.4497034,31.27334256,34.84840276
28,31.27334256,34.84840276,319.5855543,31.27769935,34.83666763
29,31.27769935,34.83666763,321.7284468,31.27739458,34.83725226
30,31.27739458,34.83725226,321.001268,31.27745188,34.83710235
31,31.27745188,34.83710235,321.0000205,31.27745816,34.83723533
32,31.27745816,34.83723533,321.0000003,31.2773936,34.83725359
