id,lat,long,alt,next_lat,next_long
1,31.27726581,34.83709885,321.0000024,31.27726767,34.83714591
2,31.27726767,34.83714591,321.0000077,31.27726581,34.83712602
3,31.27726581,34.83712602,321.0000052,31.27722969,34.83675111
4,31.27722969,34.83675111,321.0000243,31.27728881,34.83703865
5,31.27728881,34.83703865,320.9999931,31.27723797,34.83696694
6,31.27723797,34.83696694,321.000004,31.27725797,34.8370642
7,31.27725797,34.8370642,320.9999998,31.27707054,34.83712353
8,31.27707054,34.83712353,320.9999944,31.27747294,34.8384487
9,31.27747294,34.8384487,319.8703342,31.27725919,34.83698544
10,31.27725919,34.83698544,320.9999947,31.2772177,34.83701737
11,31.2772177,34.83701737,321.0000013,31.27727326,34.83716569
12,31.27727326,34.83716569,321.0000109,31.27729819,34.83693056
13,31.27729819,34.83693056,321,31.27794685,34.83909134
14,31.27794685,34.83909134,318.8222826,31.27746994,34.83606036
15,31.27746994,34.83606036,322.4744651,31.27729464,34.83717006
16,31.27729464,34.83717006,321.0000172,31.27728578,34.83691303
17,31.27728578,34.83691303,320.9999997,31.27730693,34.83694217
18,31.27730693,34.83694217,321.0000001,31.27730088,34.83693199
19,31.27730088,34.83693199,320.9999997,31.27726128,34.83709443
20,31.27726128,34.83709443,321.0596379,31.27713203,34.83702029
21,31.27713203,34.83702029,320.999993,31.27631411,34.80616416
22,31.27631411,34.80616416,321.7019763,31.2774828,34.83712973
23,31.2774828,34.83712973,321.0000601,31.27709594,34.8370401
24,31.27709594,34.8370401,320.9999998,31.27710106,34.83703763
25,31.27710106,34.83703763,320.9999994,31.27709732,34.83703984
26,31.27709732,34.83703984,321.0000001,31.27703564,34.83703209
27,31.27703564,34.83703209,321.0000059,31.27691476,34.83780446
28,31.27691476,34.83780446,321.0004371,31.27728252,34.8372296
29,31.27728252,34.8372296,321.0027621,31.27715345,34.83696336
30,31.27715345,34.83696336,320.9999782,31.27710608,34.83704118
31,31.27710608,34.83704118,320.9999972,31.277165,34.83670955
32,31.277165,34.83670955,321.0000578,31.27709725,34.83704102
33,31.27709725,34.83704102,321,31.27714075,34.83704665
34,31.27714075,34.83704665,321.0000118,31.27709773,34.83704604
35,31.27709773,34.83704604,321.0000003,31.27711639,34.83693696
36,31.27711639,34.83693696,320.9998985,31.28050447,34.83709635
37,31.28050447,34.83709635,321.0069216,31.27711063,34.83704719
38,31.27711063,34.83704719,320.9999988,31.2774317,34.83707978
39,31.2774317,34.83707978,321.0001052,31.27668388,34.83699858
40,31.27668388,34.83699858,321.0003272,31.27709449,34.83704262
