id,lat,long,alt
818,34.42931269,31.41299712,31.38174371
819,34.41417409,31.39398377,39.31417767
820,34.40629936,31.40551369,66.41752334
821,34.4212615,31.40927849,38.8117162
822,34.41384424,31.41103149,52.91389718
823,34.42097168,31.40543689,21.70944917
824,34.41465839,31.40109861,51.51883534
825,34.59091197,31.29328221,-196.631151
826,34.41361795,31.38797493,60.11357908
827,34.38818157,31.41249646,83.68077817
828,34.40799219,31.40868783,57.41741696
829,34.50954142,31.47477875,-151.5380621
830,34.41950681,31.41288427,34.1065201
831,34.4298919,31.40203683,30.77853278
832,34.4217623,31.39175895,48.77840303
833,34.41824211,31.39949313,52.42499627
834,34.42509729,31.40161147,43.072716
835,34.41685562,31.40460104,43.26110214
836,34.43109098,31.39344495,35.68235879
837,34.41658891,31.40913745,36.52561168
838,34.44026485,31.41073092,13.72154997
839,34.41671417,31.41443412,47.84287325
840,34.42034321,31.39866617,38.24859329
841,34.40786488,31.42572536,43.71730972
842,34.4182172,31.39450264,50.7270845
843,34.8320824,29.19179357,305.4868504
844,34.42124763,31.40138897,36.57751766
845,34.4142363,31.41773325,40.54613802
846,34.39176228,31.52625393,46.32533364
847,34.42681398,31.3914798,51.42126779
848,34.43527065,31.41914555,-4.991135667
849,34.42262352,31.3947919,43.87561936
850,34.41665115,31.418931,31.59825346
851,34.41847453,31.40238348,44.60625786
852,34.42232524,31.41849616,22.14019664
853,34.42974791,31.40550006,29.29785796
854,34.43729665,31.53174548,-96.47494421
855,34.41932045,31.40530663,35.94788343
856,34.41525288,31.4026008,52.86753198
857,34.42871587,31.46361053,-22.14682529
858,34.36438239,31.42169055,83.68505582
859,34.41819265,31.38244843,69.23572317
860,34.18952983,31.29534793,548.8018586
861,34.41789953,31.41469485,33.31919328
862,34.41000629,31.39790589,55.54589145
863,34.41198436,31.41330097,46.49679297
864,34.42043787,31.41404514,32.97033658
865,34.50751789,31.3449135,-93.94792399
866,34.42150715,31.4164501,30.73243215
867,34.4140819,31.39750146,56.33884426
868,34.42397969,31.41445436,29.35350802
869,34.41676576,31.40827419,51.9859694
870,34.41219804,31.40616585,54.19970751
871,34.42849343,31.42153982,13.06386349
872,34.42514444,31.37553104,59.1961355
873,34.41773887,31.3996723,46.24033737
874,34.41685668,31.39346305,54.71154753
875,34.42480614,31.41739568,24.03986151
876,34.41822194,31.40909066,43.98370573
877,34.41175393,31.41709383,37.67974161
878,34.38637631,31.40100674,95.32695688
879,34.34748307,31.39159929,184.6341642
880,34.42155839,31.41677032,25.75375398
881,34.39527277,31.41286089,91.41789682
882,34.41908793,31.40452418,43.19480431
883,34.42035037,31.4222528,35.45413773
884,34.42982033,31.41026096,28.39120724
885,34.41389868,31.42052442,48.92730849
886,34.42004457,31.41674085,26.67246524
887,34.41996739,31.40672359,39.11007822
888,34.41952,31.41158776,27.91783897
889,34.41578781,31.39008875,52.63645022
890,34.41529981,31.41588173,36.96914571
891,34.41913843,31.40000203,38.14222884
892,34.41260303,31.40677579,53.19157452
893,34.43526182,31.40545264,12.30869773
894,34.41778678,31.41528535,42.09936797
895,34.42716596,31.40989024,13.46415531
896,34.4169156,31.4186001,37.70295175
897,34.43140605,31.41500258,22.19567208
898,34.42569426,31.41613949,28.13519594
899,34.41857373,31.41623712,34.49672372
900,34.42630439,31.42404109,23.7850976
901,34.42023824,31.41851359,29.3898123
902,34.41949594,31.40373681,48.45926603
903,34.41842272,31.40008723,31.36190918
904,34.4189249,31.41567368,34.80664177
905,34.36412701,31.41867462,164.2367401
906,34.41646147,31.3937619,52.9800709
907,34.41818389,31.41115683,44.84993449
908,34.41005779,31.4274651,59.40229971
909,34.41965737,31.40620748,29.88620422
910,34.42531787,31.41357653,28.9094031
911,34.42517419,31.41070777,28.86926544
912,34.42061566,31.45977234,5.116913286
913,34.42062021,31.40996878,50.84168335
914,34.4092877,31.41595964,57.30912918
915,34.43033258,31.3988727,25.24905351
